ReviewID,Phrases,Phrase_Count
2471,would liked,1
2660,late positive,1
2660,great waiting,1
2472,appreciated travelling,1
2659,terminal helpful,1
2659,selection good,1
2472,better expected,1
2659,inflight entertainment,1
2659,helpful friendly,1
2659,good food,1
2659,friendly aircraft,1
2659,entertainment screen,1
2472,family good,1
2658,service good,1
2667,enjoyed journey,1
2667,entertainment good,1
2667,excellent service,1
2672,free map,1
2672,support told,1
2469,comfortable crew,1
2672,support help,1
2469,flights good,1
2672,shown free,1
2672,quite good,1
2672,nice flight,1
2672,lounges great,1
2672,great staff,1
2672,good including,1
2469,good bit,1
2469,lunchbox wish,1
2671,splendid aircraft,1
2671,pretty average,1
2671,outstanding food,1
2671,okay outstanding,1
2671,london helpful,1
2671,hkg pretty,1
2671,great passenger,1
2671,good wine,1
2671,food good,1
2671,excellent ground,1
2673,choice great,1
2673,entertainment needing,1
2673,excellent customer,1
2673,great past,1
2469,cabin clean,1
2677,holiday worldwide,1
2677,helpful assistance,1
2677,goodness kindle,1
2677,good occasionally,1
2677,good helpful,1
2677,expect better,1
2677,europe holiday,1
2677,clearly travelling,1
2469,clean new,1
2677,better service,1
2677,better evening,1
2677,ba yes,1
2677,acceptable good,1
2675,well prepared,1
2675,tried help,1
2675,staff interested,1
2675,interested take,1
2675,help us,1
2673,provided excellent,1
2673,inflight entertainment,1
2671,choice excellent,1
2469,quite comfortable,1
2667,floor safety,1
2471,comfortable economy,1
2668,crew efficient,1
2668,could care,1
2471,benefit using,1
2471,best airlines,1
2668,care less,1
2668,boeing excellent,1
2667,seats great,1
2667,seats comfortable,1
2471,best part,1
2471,better airlines,1
2667,safety journey,1
2671,aircraft great,1
2667,product excellent,1
2667,presented good,1
2667,needs help,1
2471,even award,1
2667,inflight entertainment,1
2667,holiday plans,1
2667,help get,1
2667,great long,1
2667,good food,1
2667,good choice,1
2668,efficient friendly,1
2668,even united,1
2471,award tickets,1
2668,excellent plane,1
2469,wish ba,1
2670,well well,1
2670,use positive,1
2670,positive experience,1
2670,many happy,1
2670,helpful food,1
2670,happy miles,1
2670,good vegetarian,1
2670,friendly helpful,1
2471,airways better,1
2670,food good,1
2670,extremely easy,1
2670,easy use,1
2670,always friendly,1
2669,people clearly,1
2669,clearly read,1
2668,united delta,1
2668,legroom good,1
2668,good find,1
2668,friendly seats,1
2471,award ticket,1
2654,food great,1
2654,confidently expecting,1
2622,helpful cabin,1
2633,flight nice,1
2633,served cheerful,1
2633,quiet good,1
2633,pleasant efficient,1
2633,nice wine,1
2633,improvement pleasant,1
2633,huge improvement,1
2633,good return,1
2633,good especially,1
2633,good av,1
2633,food good,1
2475,better plane,1
2633,whch better,1
2633,fizzy welcome,1
2633,efficient staff,1
2633,cheerful cabin,1
2633,better orange,1
2633,also good,1
2632,provided good,1
2632,good service,1
2631,good never,1
2631,generally good,1
2630,return pretty,1
2633,welcome us,1
2474,helpful could,1
2654,comfortable good,1
2634,pisa comfortable,1
2474,families friends,1
2635,special service,1
2635,special reviewed,1
2635,get special,1
2635,crew better,1
2635,bit special,1
2634,schedule nice,1
2634,reviews clearly,1
2474,friends champagne,1
2634,really care,1
2634,optimism got,1
2634,airways care,1
2634,nice smooth,1
2634,mediocre funny,1
2474,good getting,1
2634,funny thing,1
2634,full optimism,1
2634,comfortable enough,1
2634,clearly show,1
2634,care many,1
2474,happy thought,1
2634,care airbridge,1
2630,research better,1
2630,recline entertainment,1
2630,provide dedicated,1
2625,flight thankfully,1
2625,thankfully child,1
2475,nice one,1
2625,service good,1
2625,seemed interested,1
2476,accustomed good,1
2625,plane clearly,1
2625,movies great,1
2625,interested rushing,1
2625,great hot,1
2625,good way,1
2625,clearly done,1
2630,pretty good,1
2624,little interest,1
2624,interest passengers,1
2624,helpful service,1
2476,comfort fine,1
2624,airport helpful,1
2622,useful storage,1
2622,option helpful,1
2622,offer free,1
2583,class better,1
2622,lucky travel,1
2626,easy excellent,1
2626,excellent crew,1
2626,lucky flying,1
2626,quick easy,1
2630,legroom good,1
2630,good value,1
2475,far comfortable,1
2630,good recline,1
2630,good food,1
2630,good could,1
2630,friendly efficient,1
2630,food good,1
2630,excellent friendly,1
2630,entertainment good,1
2630,efficient seats,1
2630,dedicated toilets,1
2630,crew excellent,1
2630,better preferences,1
2628,special added,1
2628,quick easy,1
2628,easy used,1
2627,years great,1
2627,great airline,1
2475,much better,1
2626,trade lucky,1
2636,check good,1
2636,display safety,1
2636,entertainment set,1
2648,good champagne,1
2651,best food,1
2472,room appreciated,1
2649,tray secured,1
2472,staff helpful,1
2472,travelling nice,1
2649,secured middle,1
2473,entertainment top,1
2649,inflight entertainment,1
2649,entertainment sum,1
2648,service efficient,1
2648,friendly business,1
2646,brunch nice,1
2648,efficient friendly,1
2648,actually good,1
2647,yes flight,1
2647,told yes,1
2646,rather enjoyed,1
2646,nice salad,1
2646,new clean,1
2646,justified part,1
2646,exciting second,1
2646,enjoyed parked,1
2472,quality better,1
2651,clean honestly,1
2651,comfortable pod,1
2651,crew friendliest,1
2654,already engaged,1
2472,nice montreal,1
2654,airways comfortable,1
2653,seats comfortable,1
2653,okay best,1
2653,good feel,1
2653,fa good,1
2653,comfortable two,1
2653,best heathrow,1
2652,perfect last,1
2652,attendant pleasant,1
2652,almost perfect,1
2651,seats comfortable,1
2651,quite good,1
2651,lacking best,1
2651,kept clean,1
2651,honestly say,1
2651,good flight,1
2651,friendliest professional,1
2651,flight entertainment,1
2651,entertainment reminiscant,1
2646,clean old,1
2646,airways justified,1
2636,good queues,1
2640,crew efficient,1
2641,food delicious,1
2641,entertainment offered,1
2641,economy nice,1
2641,delicious entertainment,1
2640,said pleasant,1
2640,quality great,1
2640,pleasant flight,1
2640,great nothing,1
2640,friendly food,1
2640,efficient friendly,1
2640,always bonus,1
2645,surely days,1
2638,terminal special,1
2638,special check,1
2638,relatively comfortable,1
2638,comfortable sit,1
2637,wine excellent,1
2637,excellent arrived,1
2636,staff helpful,1
2636,safety briefing,1
2636,inflight entertainment,1
2636,helpful flight,1
2641,good standard,1
2641,nice surprise,1
2641,offered good,1
2642,attempt clean,1
2645,choice surely,1
2644,complimentary food,1
2473,remote entertainment,1
2644,clearly cost,1
2644,came complimentary,1
2644,airways clearly,1
2643,offering comfortable,1
2643,lhr good,1
2643,good new,1
2643,friendliest bunch,1
2643,crew friendliest,1
2643,comfortable ride,1
2642,yes hope,1
2642,replied yes,1
2642,learnt improved,1
2642,inflight entertainment,1
2474,asked happy,1
2642,improved certainly,1
2642,hope water,1
2642,clean resulting,1
2474,economy good,1
2583,class good,1
2492,crew helpful,1
2583,better crew,1
2519,comfortable ife,1
2520,brilliant comfortable,1
2520,always nice,1
2520,always loved,1
2520,advertised superb,1
2519,would definitely,1
2487,far superior,1
2519,perfect punctuality,1
2519,new bright,1
2519,europe comfortable,1
2519,definitely fly,1
2519,clean seats,1
2520,care service,1
2519,champagne perfect,1
2519,bright clean,1
2487,good things,1
2518,wonderful pleasantly,1
2518,started holiday,1
2518,smart seats,1
2518,pleasantly surprised,1
2518,pleasant surprise,1
2518,overall enjoyable,1
2518,lounge good,1
2520,business comfortable,1
2520,class pleased,1
2529,accompanied outstanding,1
2520,felt comfortable,1
2486,one good,1
2520,onboard comfortable,1
2520,nice past,1
2520,lovely comfortable,1
2520,loved british,1
2520,going lovely,1
2520,give clean,1
2520,friendly accommodating,1
2486,pretty good,1
2520,food delicious,1
2486,service pretty,1
2520,class wins,1
2520,experience enjoyable,1
2520,enjoyable food,1
2520,comfortable though,1
2520,comfortable next,1
2520,comfortable fully,1
2520,comfortable food,1
2520,comfortable feeling,1
2520,comfortable experience,1
2520,comfortable booking,1
2486,usually good,1
2518,holiday much,1
2518,holiday flight,1
2518,good two,1
2516,plane good,1
2517,fortunate efficient,1
2517,efficient security,1
2517,definitely worth,1
2517,could improved,1
2517,better quality,1
2487,whilst hoping,1
2489,area charming,1
2489,best find,1
2516,size comfortable,1
2516,quality good,1
2516,good ife,1
2518,good pleasant,1
2516,good enjoyable,1
2516,full enjoyed,1
2516,friendly service,1
2516,enjoyable flight,1
2516,efficient friendly,1
2516,comfortable seat,1
2516,brings efficient,1
2489,charming staff,1
2515,plane comfortable,1
2515,man impressive,1
2517,good lhr,1
2487,times popular,1
2517,improved offering,1
2517,lhr fortunate,1
